Anime,Gênero,Popularidade,Pontuação,Tipo
Attack on Titan,"Ação, Drama, Suspense",3.738.467,8.54,Série de TV
Death Note,"Sobrenatural, Suspense",3.707.205,8.62,Série de TV
Fullmetal Alchemist: Brotherhood,"Ação, Aventura, Drama, Fantasia",3.171.382,9.10,Série de TV
One Punch Man,"Ação, Comédia",3.053.695,8.50,Série de TV
Sword Art Online,"Ação, Aventura, Fantasia, Romance",2.948.123,7.20,Série de TV
My Hero Academia,Ação,2.877.907,7.89,Série de TV
Demon Slayer: Kimetsu no Yaiba,"Ação, Fantasia",2.800.619,8.51,Série de TV
Naruto,"Ação, Aventura, Fantasia, Romance",2.712.968,7.98,Série de TV
Tokyo Ghoul,"Ação, Fantasia, Terror",2.695.500,7.79,Série de TV
Hunter x Hunter (2011),"Ação, Aventura, Fantasia",2.651.528,9.04,Série de TV
Your Name.,"Drama, Sobrenatural",2.592.651,8.85,Filme
Attack on Titan Season 2,"Ação, Drama, Suspense",2.562.103,8.50,Série de TV
Steins;Gate,"Drama, Sci-Fi, Suspense",2.436.561,"9,07",Série de TV
My Hero Academia Season 2,Ação,2.407.160,8.11,Série de TV
Naruto Shippuden,"Ação, Aventura, Fantasia",2.344.977,8.26,Série de TV
"No Game, No Life","Comédia, Fantasia, Ecchi",2.302.935,8.08,Série de TV
Jujutsu Kaisen,"Ação, Fantasia",2.245.997,8.64,Série de TV
Attack on Titan Season 3,"Ação, Drama",2.207.624,8.62,Série de TV
A Silent Voice,Drama,2.188.997,8.94,Filme
One Piece,"Ação, Aventura, Fantasia",2.164.293,8.69,Série de TV
Code Geass: Lelouch of the Rebellion,"Ação, Drama, Sci-Fi",2.148.665,8.70,Série de TV
Toradora!,"Drama, Romance",2.118.641,8.08,Série de TV
Your Lie in April,"Drama, Romance",2.108.629,8.65,Série de TV
Attack on Titan Season 3 Part 2,"Ação, Drama",2.098.954,9.06,Série de TV
Re:ZERO -Starting Life in Another World-,"Drama, Fantasia, Suspense",2.088.480,8.23,Série de TV
My Hero Academia Season 3,Ação,2.082.318,8.04,Série de TV
Noragami,"Ação, Fantasia",2.076.461,7.95,Série de TV
Angel Beats!,"Drama, Sobrenatural",2.008.477,8.06,Série de TV
Akame ga Kill!,"Ação, Fantasia",1.995.006,7.47,Série de TV
ERASED,"Mistério, Sobrenatural, Suspense",1.990.923,8.31,Série de TV
The Seven Deadly Sins,"Ação, Aventura, Fantasia",1.971.790,7.67,Série de TV
Mob Psycho 100,"Ação, Comédia, Sobrenatural",1.953.138,8.49,Série de TV
The Future Diary,"Ação, Sobrenatural, Suspense",1.944.264,7.42,Série de TV
Assassination Classroom,"Ação, Comédia",1.911.745,8.04,Série de TV
Sword Art Online II,"Ação, Aventura, Fantasia, Romance",1.900.291,6.70,Série de TV
Haikyu!!,Esportes,1.867.205,8.44,Série de TV
The Promised Neverland,"Fantaisa, Mistério, Sci-Fi, Suspense",1.862.992,8.51,Série de TV
KonoSuba: God's Blessing on This Wonderful World!,"Aventura, Comédia, Fantasia",1.859.416,8.11,Série de TV
Bleach,"Ação, Aventura, Fantasia",1.853.866,7.92,Série de TV
Blue Exorcist,"Ação, Fantasia",1.852.890,7.50,Série de TV
Attack on Titan: Final Season,"Ação, Drama",1.842.238,8.80,Série de TV
Parasyte: The Maxim,"Ação, Terror, Sci-Fi",1.779.115,8.34,Série de TV
Cowboy Bebop,"Ação, Sci-Fi",1.768.681,8.75,Série de TV
Spirited Away,"Aventura, Sobrenatural",1.757.850,8.78,Filme
Neon Genesis Evangelion,"Ação, Vanguarda, Drama, Sci-Fi, Suspense",1.714.937,8.35,Série de TV
Tokyo Ghoul √A,"Ação, Fantasia, Terror",1.705.520,7.02,Série de TV
Code Geass: Lelouch of the Rebellion R2,"Ação, Drama, Sci-Fi",1.697.280,8.91,Série de TV
Death Parade,"Drama, Sobrenatural, Suspense",1.686.297,8.15,Série de TV
Fairy Tail,"Ação, Aventura, Fantasia",1.679.619,7.57,Série de TV
Violet Evergarden,"Drama, Fantasia",1.673.947,8.67,Série de TV
